tweets;Classification
"Eleições 2022: PDT anuncia apoio a Lula, e Ciro deve seguir orientação do partido
	";Positivo
"eleições 2022 ou modern family?
	";Negativo
" O PDT anunciou apoio a Lula no segundo turno das eleições e disse que Ciro Gomes concorda com a decisão. #Eleicoes2022
	";Positivo
" Simone Tebet pretende encontrar Lula pessoalmente para debater sobre apoio no 2 turno e englobar algumas de suas propostas de governo no plano do petista! #Eleicoes2022
	";Positivo
"A interpretação é de cada um. Eleições 2022
	";Negativo
"Grupo Jovem Pan bate recorde de audiência nas transmissões na cobertura das eleições de 2022
	";Neutro
" URGENTE: PDT ACABA DE ANUNCIAR APOIO AO LULA NO SEGUNDO TURNO DAS ELEIÇÕES 2022.
	";Positivo
"Estes foram os desempenhos do NOVO nas eleições de 2018, presidido por Moisés Jardim, e nas eleições de 2022, presidido por Eduardo Ribeiro.Com estes resultados, os candidatos do partido não terão participação garantida nos debates eleitorais até, pelo menos, 2028.
	";Neutro
"Tem gente que já votou no 2⁰ turno das eleições de 2022???
	";Positivo
" Em pleno Outubro Rosa, Governo Bolsonaro acaba de cortar verba de R$78 MILHÕES contra o câncer, a doença que mais mata no país, para bancar 'orçamento secreto' em 2023, afirma o Estadão.#Eleicoes2022
	";Neutro
"Eleições 2022. A interpretação é livre. Só um registro.
	";Negativo
" *No dia 30, consolidar a vitória*Lula é o vencedor do 1º turno das eleições presidenciais de 2022.
	";Positivo
"Parabéns a todos os brasileiros e brasileiras, que mostraram sabedoria e maturidade democrática, votando com segurança e paz! O primeiro turno das eleições gerais de 2022 transcorreu em absoluta harmonia. A Democracia prevaleceu!!!
	";Neutro
"Eleições 2022: Pastores minimizam possíveis efeitos de vídeo de Bolsonaro na maçonaria
	";Neutro
"Rondônia, Mato Grosso e Rio de Janeiro tiveram maiores abstenções; veja ranking - Eleições 2022... Quem mais se abstém no Brasil?Eleitores Sudeste Centro-OesteHomensEleitores ensino fundamentalEleitores exteriorCidades pequenas médiasvamos ao trabalho pessoal
	";Negativo
"Segundo turno,  quem será que vai vencer ? #Eleicoes2022RT: BolsonaroFAV: Lula
	";Negativo
"O @GuilhermeBoulos é excelente.""O que os livros de história vão dizer daqui a 30 anos sobre as eleições de 2022?"" ""Contarão o que estava em jogo nessa eleição"".""Nós temos um presidente que defende torturador""
	";Neutro
" Ciro Gomes e o PDT declaram apoio ao ex-presidente Lula no 2º turno das eleições presidenciais. #Eleicoes2022
	";Positivo
" URGENTE! No dia 15 de setembro desse ano, Bolsonaro se reuniu com 1.200 empresários da maçonaria para ""uma rodada de negócios de oportunidade única"", afirma O Veja.#Eleicoes2022
	";Neutro
"A interpretação é de cada um. Eleições 2022.
	";Negativo
"Fraudes nas eleições 2022 no brasil
	";Negativo
"MEU DEUS A AVENIDA PAULISTA NA VIRADA DO LULA #Eleicoes2022 #lula
	";Negativo
"ELEIÇÕES 2022 - Cleitinho Senador DENÚNCIA URGENTEhttps://youtu.be/xCzpnLrhgWA
	";Negativo
"Eleições 2022: Partido Novo perde eleitores, vê bancadas encolher e não atinge cláusula de barreira
	";Negativo
"Eleições 2022: Zema declara apoio a Bolsonaro, e presidente fala em ajuda decisiva
	";Negativo
"Mark Ruffalo faz referência aos filmes da Marvel ao falar sobre as #Eleicoes2022: ""Às vezes esperamos pelo Ultimato, mas descobrimos que ainda estamos na Guerra Infinita. Agora, devemos continuar lutando por justiça, apoiar uns aos outros e saber que nosso Ultimato chegará!""
	";Negativo
"Zema oficializa apoio a Bolsonaro no 2.º turno: “Herdei uma tragédia do PT”: https://bit.ly/3EfjCLj#Eleições2022
	";Positivo
"Ciro Gomes seguirá decisão de seu partido PDT e apoiará Lula no 2º turno, afirma O Globo. #Eleicoes2022
	";Positivo
"AGORA: Após PDT e Ciro Gomes anunciarem apoio a Lula no segundo turno contra Bolsonaro, apoiadores ciristas lançam campanha “Vote 12+1”. #Eleições2022
	";Positivo
"Lula criou a Lei de Liberdade Religiosa, o Dia do Evangélico e a Lei da Marcha por Jesus. Enquanto Bolsonaro, que se diz cristão, pedia votos na maçonaria e tirava fotos ao lado do Baphomet.Engraçado que é Lula quem está sendo atacado pelos cristãos.#Eleicoes2022
	";Neutro
"PALAVRAS DO PADRE PAULO RICARDO SOBRE UM CATÓLICO FAZER PARTE DA MAÇONARIA.BOLSONARO SATANISTA / Fake News / MUITO GRAVE / Baphomet / #Eleicoes2022 / Daciolo / Bozo
	";Negativo
"[resumão] vai e vem do 2º turno: pdt e ciro apoiam lula castro (rj) e zema (mg) apoiam bolsonaro garcia (sp) apoia tarcísio e conversa com bolsonaro moro (pr) reata com bolsonaro tebet quer apoiar lula; mdb quer liberar filiados#Eleições2022
	";Positivo
"Daqui pra frente vou me adaptar as regras da natureza, e já que hj é dia dos animais, vou dar uma de AVESTRUZ, usando sua técnica. Não quero saber quem apoia quem. É horroroso se sentir representado por quem não demos o voto. #Eleicoes2022
	";Neutro
" Cabo Daciolo aposta que facada de Bolsonaro foi FALSA e organizada pela Maçonaria. #Eleicoes2022
	";Negativo
"#Eleições2022 #Bolsonaro Brasil precisa caminhar para frente, diz Zema, ao formalizar apoio a Bolsonaro
	";Negativo
